PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,brca1-p1_activity-Activity_Score,brca1-p1_activity-Curve_Description,brca1-p1_activity-Fit_LogAC50,brca1-p1_activity-Fit_HillSlope,brca1-p1_activity-Fit_R2,brca1-p1_activity-Fit_InfiniteActivity,brca1-p1_activity-Fit_ZeroActivity,brca1-p1_activity-Fit_CurveClass,brca1-p1_activity-Excluded_Points,brca1-p1_activity-Max_Response,brca1-p1_activity-Activity at 0.092 uM,brca1-p1_activity-Activity at 0.184 uM,brca1-p1_activity-Activity at 0.258 uM,brca1-p1_activity-Activity at 0.337 uM,brca1-p1_activity-Activity at 0.369 uM,brca1-p1_activity-Activity at 0.517 uM,brca1-p1_activity-Activity at 0.737 uM,brca1-p1_activity-Activity at 0.922 uM,brca1-p1_activity-Activity at 1.290 uM,brca1-p1_activity-Activity at 1.840 uM,brca1-p1_activity-Activity at 2.115 uM,brca1-p1_activity-Activity at 2.587 uM,brca1-p1_activity-Activity at 3.690 uM,brca1-p1_activity-Activity at 4.610 uM,brca1-p1_activity-Activity at 6.450 uM,brca1-p1_activity-Activity at 9.218 uM,brca1-p1_activity-Activity at 12.69 uM,brca1-p1_activity-Activity at 18.70 uM,brca1-p1_activity-Activity at 36.87 uM,brca1-p1_activity-Activity at 46.10 uM,brca1-p1_activity-Activity at 64.71 uM,brca1-p1_activity-Activity at 92.20 uM,Compound QC
3428,49823503,9679692,Active,90,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224850-01/146540009,,Activator,2.2387,182.473,,90,Complete curve; high efficacy,-5.65,1.2221,0.9998,168.851,-13.6224,1.1,0 0 0 0,165.54,,,,,5.2761,,,,,66.1394,,,,,,140.852,,,,165.54,,,QC'd by ChemT & I Ltd.
3429,49823561,20411474,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224782-01/146494355,,Activator,11.2202,108.435,,42,Partial curve; high efficacy,-4.95,4.095,0.9986,105.375,-3.0608,2.1,0 0 0 0,104.538,,,,,-5.2965,,,,,-0.7227,,,,,,31.1953,,,,104.538,,,QC'd by ChemT & I Ltd.
3430,49823615,24818524,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224417-01/146378609,,Activator,12.5893,110.876,,42,Partial curve; high efficacy,-4.9,4.095,0.9995,110.656,-0.2199,2.1,0 0 0 0,109.778,,,,,-2.047,,,,,0.6442,,,,,,24.5909,,,,109.778,,,QC'd by ChemT & I Ltd.
3431,49823617,24818525,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224422-01/146477487,,Activator,8.9125,182.933,,45,Partial curve; high efficacy,-5.05,2.2526,0.9988,192.652,9.7193,2.1,0 0 0 0,189.992,,,,,13.5211,,,,,13.2776,,,,,,102.007,,,,189.992,,,QC'd by ChemT & I Ltd.
3432,49823644,25237294,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224238-01/146346543,,Activator,7.0795,122.642,,44,Partial curve; high efficacy,-5.15,1.8265,0.9997,129.088,6.4453,2.1,0 0 0 0,125.085,,,,,7.8983,,,,,14.5883,,,,,,82.3295,,,,125.085,,,QC'd by ChemT & I Ltd.
3433,49823661,896691,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224585-01/146346433,,Activator,10,132.276,,43,Partial curve; high efficacy,-5,1.3723,0.9998,130.236,-2.0403,2.1,0 0 0 0,115.457,,,,,-0.732,,,,,9.1023,,,,,,61.6365,,,,115.457,,,QC'd by ChemT & I Ltd.
3434,49823665,6131904,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224590-01/146494489,,Activator,12.5893,115.186,,42,Partial curve; high efficacy,-4.9,4.095,0.9992,122.711,7.5258,2.1,0 0 0 0,121.737,,,,,5.9564,,,,,9.6353,,,,,,32.8256,,,,121.737,,,QC'd by ChemT & I Ltd.
3435,49823727,24818571,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224307-01/146385277,,Activator,2.5119,102.114,,87,Complete curve; high efficacy,-5.6,1.5579,0.9999,122.058,19.9439,1.1,0 0 0 0,121.09,,,,,24.7972,,,,,58.8182,,,,,,109.462,,,,121.09,,,QC'd by ChemT & I Ltd.
3436,49823825,17276893,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001229830-01/146402891,,Activator,3.1623,155.442,,47,Partial curve; high efficacy,-5.5,1.01,0.9993,143.632,-11.8103,2.1,0 0 0 0,133.735,,,,,2.5097,,,,,47.3269,,,,,,103.794,,,,133.735,,,QC'd by ChemT & I Ltd.
3437,49823875,6467995,Active,96,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001229936-01/146539716,,Activator,0.8913,211.012,,96,Complete curve; high efficacy,-6.05,2.2481,0.9998,200.766,-10.246,1.1,0 0 0 0,199.845,,,,,15.2821,,,,,166.604,,,,,,201.573,,,,199.845,,,QC'd by ChemT & I Ltd.
3438,49823880,6464455,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001229943-01/146495416,,Activator,8.9125,100.41,,43,Partial curve; high efficacy,-5.05,1.9673,0.9994,105.129,4.7189,2.1,0 0 0 0,100.698,,,,,5.0767,,,,,8.4672,,,,,,58.3448,,,,100.698,,,QC'd by ChemT & I Ltd.
3439,49823881,6465038,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001229944-01/146402789,,Activator,10,120.74,,43,Partial curve; high efficacy,-5,4.9549,0.9988,123.207,2.4672,2.1,0 0 0 0,123.701,,,,,5.0024,,,,,0.3431,,,,,,50.359,,,,123.701,,,QC'd by ChemT & I Ltd.
3440,49823891,4166352,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001223884-01/146346252,,Activator,7.9433,189.483,,46,Partial curve; high efficacy,-5.1,1.8851,0.9987,192.153,2.6706,2.1,0 0 0 0,184.055,,,,,6.0153,,,,,10.3159,,,,,,112.856,,,,184.055,,,QC'd by ChemT & I Ltd.
3441,49823912,2554270,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001229957-01/146403572,,Activator,3.1623,173.391,,88,Complete curve; high efficacy,-5.5,1.9282,0.9998,166.309,-7.0822,1.1,0 0 0 0,164.989,,,,,-3.1004,,,,,36.6892,,,,,,146.77,,,,164.989,,,QC'd by ChemT & I Ltd.
3442,49823921,17383652,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001229973-01/146633660,,Activator,11.2202,211.02,,45,Partial curve; high efficacy,-4.95,4.9549,0.9985,213.766,2.7465,2.1,0 0 0 0,213.34,,,,,-2.2017,,,,,6.9479,,,,,,61.9892,,,,213.34,,,QC'd by ChemT & I Ltd.
3443,49823950,19574111,Active,84,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001223945-01/146346353,,Activator,4.4668,102.208,,84,Complete curve; high efficacy,-5.35,1.8079,0.9999,101.815,-0.3929,1.1,0 0 0 0,100.409,,,,,1.4796,,,,,16.305,,,,,,80.2002,,,,100.409,,,QC'd by ChemT & I Ltd.
3444,49823968,1244329,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001223744-01/146384424,,Activator,2.2387,143.488,,88,Complete curve; high efficacy,-5.65,2.2526,0.9991,138.246,-5.2425,1.1,0 0 0 0,136.337,,,,,-2.0621,,,,,49.1273,,,,,,134.979,,,,136.337,,,QC'd by ChemT & I Ltd.
3445,49824008,24818655,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001232725-01/146493539,,Activator,2.5119,103.519,,86,Complete curve; high efficacy,-5.6,1.8617,0.9995,109.052,5.5321,1.1,0 0 0 0,109.49,,,,,8.9054,,,,,41.8116,,,,,,99.503,,,,109.49,,,QC'd by ChemT & I Ltd.
3446,49824010,4827268,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001232729-01/146403022,,Activator,2.8184,173.932,,89,Complete curve; high efficacy,-5.55,2.7202,0.9987,172.533,-1.3988,1.1,0 0 0 0,169.15,,,,,-2.5969,,,,,43.2077,,,,,,168.541,,,,169.15,,,QC'd by ChemT & I Ltd.
3447,49824035,858196,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230012-01/146402545,,Activator,10,151.901,,44,Partial curve; high efficacy,-5,4.9549,0.9989,154.069,2.1679,2.1,0 0 0 0,153.762,,,,,5.1292,,,,,-0.769,,,,,,62.9814,,,,153.762,,,QC'd by ChemT & I Ltd.
3448,49824060,19653622,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230080-01/146493487,,Activator,12.5893,107.888,,42,Partial curve; high efficacy,-4.9,1.4487,0.9994,108.368,0.4798,2.1,0 0 0 0,95.5626,,,,,0.3602,,,,,7.1853,,,,,,41.9906,,,,95.5626,,,QC'd by ChemT & I Ltd.
3449,49824087,7913332,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230040-01/146495299,,Activator,7.9433,171.219,,45,Partial curve; high efficacy,-5.1,1.3443,1,171.219,0,2.1,0 0 0 0,155.937,,,,,2.7205,,,,,21.2494,,,,,,94.6128,,,,155.937,,,QC'd by ChemT & I Ltd.
3450,49824107,25237188,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230098-01/146540477,,Activator,5.6234,162.913,,46,Partial curve; high efficacy,-5.25,1.1,0.9998,169.927,7.0142,2.1,0 0 0 0,155.611,,,,,15.3276,,,,,42.721,,,,,,110.55,,,,155.611,,,QC'd by ChemT & I Ltd.
3451,49824122,6279366,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230118-01/146494472,,Activator,10,149.975,,44,Partial curve; high efficacy,-5,0.8,0.9992,140.11,-9.8651,2.1,0 0 0 0,106.629,,,,,-1.0428,,,,,22.357,,,,,,61.6166,,,,106.629,,,QC'd by ChemT & I Ltd.
3452,49824130,45928573,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230134-01/146494380,,Activator,10,140.522,,43,Partial curve; high efficacy,-5,3.9295,0.9999,128.525,-11.9966,2.1,0 0 0 0,128.269,,,,,-12.3407,,,,,-11.8361,,,,,,46.374,,,,128.269,,,QC'd by ChemT & I Ltd.
3453,49824148,20411473,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230198-01/146540392,,Activator,7.0795,142.032,,45,Partial curve; high efficacy,-5.15,1.8851,0.9993,139.116,-2.9165,2.1,0 0 0 0,136.388,,,,,-0.7166,,,,,5.5341,,,,,,84.2804,,,,136.388,,,QC'd by ChemT & I Ltd.
3454,49824149,17267106,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230199-01/146495107,,Activator,10,173.004,,44,Partial curve; high efficacy,-5,1.4781,0.9999,170.281,-2.7235,2.1,0 0 0 0,153.406,,,,,-0.983,,,,,9.841,,,,,,79.2574,,,,153.406,,,QC'd by ChemT & I Ltd.
3455,49824151,24818709,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230201-01/146495596,,Activator,3.5481,136.901,,86,Complete curve; high efficacy,-5.45,1.5386,0.9999,134.286,-2.6151,1.1,0 0 0 0,132.432,,,,,1.6766,,,,,33.1129,,,,,,108.529,,,,132.432,,,QC'd by ChemT & I Ltd.
3456,49824152,24818710,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230203-01/146495169,,Activator,14.1254,167.751,,43,Partial curve; high efficacy,-4.85,1.5936,0.9987,173.675,5.924,2.1,0 0 0 0,152.347,,,,,4.2456,,,,,15.3484,,,,,,60.8217,,,,152.347,,,QC'd by ChemT & I Ltd.
3457,49824197,4078786,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230244-01/146539609,,Activator,3.9811,112.967,,85,Complete curve; high efficacy,-5.4,2.0437,0.9998,114.07,1.1033,1.1,0 0 0 0,113.165,,,,,2.8377,,,,,19.4391,,,,,,97.1228,,,,113.165,,,QC'd by ChemT & I Ltd.
3458,49824213,24818736,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230266-01/146342199,,Activator,5.6234,108.335,,45,Partial curve; high efficacy,-5.25,1.5095,0.9996,126.599,18.2634,2.1,0 0 0 0,122.673,,,,,21.2096,,,,,34.1273,,,,,,91.2828,,,,122.673,,,QC'd by ChemT & I Ltd.
3459,49824215,894484,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230271-01/146496144,,Activator,7.0795,220.449,,48,Partial curve; high efficacy,-5.15,1.4787,0.9997,231.641,11.1915,2.1,0 0 0 0,216.892,,,,,13.4107,,,,,37.9858,,,,,,144.678,,,,216.892,,,QC'd by ChemT & I Ltd.
3460,49824238,25237182,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230287-01/146496171,,Activator,5.0119,181.529,,88,Complete curve; high efficacy,-5.3,2.0937,0.9998,189.53,8.0011,1.1,0 0 0 0,188.026,,,,,10.2233,,,,,26.4432,,,,,,150.864,,,,188.026,,,QC'd by ChemT & I Ltd.
3461,49824240,25237181,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230289-01/146402681,,Activator,2.5119,136.06,,87,Complete curve; high efficacy,-5.6,1.6259,0.9995,125.254,-10.8052,1.1,0 0 0 0,125.004,,,,,-4.1607,,,,,38.9466,,,,,,109.444,,,,125.004,,,QC'd by ChemT & I Ltd.
3462,49824270,9563343,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001239897-01/146496110,,Activator,5.6234,157.827,,46,Partial curve; high efficacy,-5.25,2.0937,0.9993,158.737,0.9091,2.1,0 0 0 0,156.545,,,,,-0.5515,,,,,17.3211,,,,,,118.829,,,,156.545,,,QC'd by Specs
3463,49824278,833428,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001239910-01/146493758,,Activator,11.2202,187.08,,44,Partial curve; high efficacy,-4.95,1.4781,1,177.543,-9.5371,2.1,0 0 0 0,156.564,,,,,-8.6359,,,,,2.7516,,,,,,71.2799,,,,156.564,,,QC'd by Specs
3464,49824297,971586,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001232304-01/146493793,,Activator,1.7783,121.795,,86,Complete curve; high efficacy,-5.75,1.6604,0.9995,90.4177,-31.3773,1.1,0 0 0 0,89.9164,,,,,-22.4038,,,,,29.4712,,,,,,83.7767,,,,89.9164,,,QC'd by ChemT & I Ltd.
3465,49824302,5882413,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001232313-01/146540145,,Activator,10,115.465,,43,Partial curve; high efficacy,-5,1.3723,0.9999,107.142,-8.3232,2.1,0 0 0 0,94.4812,,,,,-7.3604,,,,,2.484,,,,,,46.1838,,,,94.4812,,,QC'd by ChemT & I Ltd.
3466,49824345,9616107,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001239979-01/146494551,,Activator,10,132.797,,43,Partial curve; high efficacy,-5,3.132,0.9989,132.139,-0.6576,2.1,0 0 0 0,131.091,,,,,1.5531,,,,,-2.7792,,,,,,57.3324,,,,131.091,,,QC'd by Specs
3467,49824385,5433138,Active,84,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001240050-01/146540289,,Activator,5.0119,103.919,,84,Complete curve; high efficacy,-5.3,1.9887,0.9998,109.495,5.5754,1.1,0 0 0 0,107.983,,,,,6.612,,,,,17.0014,,,,,,85.6833,,,,107.983,,,QC'd by Specs
3468,49824446,19676483,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001232496-01/146342343,,Activator,6.3096,143.961,,85,Complete curve; high efficacy,-5.2,4.095,0.9996,144.906,0.9446,1.1,0 0 0 0,145.488,,,,,-1.0445,,,,,3.3531,,,,,,119.123,,,,145.488,,,QC'd by ChemT & I Ltd.
3469,49824473,9563604,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001240147-01/146385924,,Activator,7.9433,114.47,,43,Partial curve; high efficacy,-5.1,1.8851,0.9993,113.924,-0.5461,2.1,0 0 0 0,110.391,,,,,1.1705,,,,,4.9648,,,,,,63.3488,,,,110.391,,,QC'd by Specs
3470,49824498,5454863,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001240173-01/146539513,,Activator,12.5893,139.952,,43,Partial curve; high efficacy,-4.9,1.2475,0.9993,159.71,19.7574,2.1,0 0 0 0,136.504,,,,,20.2837,,,,,33.2467,,,,,,75.3091,,,,136.504,,,QC'd by Specs
3471,49824502,5412335,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001240182-01/146346321,,Activator,14.1254,218.199,,44,Partial curve; high efficacy,-4.85,4.095,0.9995,217.258,-0.9408,2.1,0 0 0 0,212.998,,,,,-2.5805,,,,,1.9069,,,,,,31.2497,,,,212.998,,,QC'd by Specs
3472,49824532,24818805,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001249978-01/146417629,,Activator,7.9433,236.524,,47,Partial curve; high efficacy,-5.1,1.3443,1,233.348,-3.1753,2.1,0 0 0 0,212.521,,,,,0.8361,,,,,26.4007,,,,,,126.866,,,,212.521,,,QC'd by Richard C Larock - Iowa State Univ. - MLI PSL
3473,49824533,24818806,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001249979-01/146606557,,Activator,8.9125,210.395,,46,Partial curve; high efficacy,-5.05,2.3332,0.9991,208.376,-2.0191,2.1,0 0 0 0,201.915,,,,,0,,,,,0,,,,,,109.945,,,,201.915,,,QC'd by Richard C Larock - Iowa State Univ. - MLI PSL
3474,49825271,24818858,Active,84,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001082785-01/146592340,,Activator,7.0795,109.372,,84,Complete curve; high efficacy,-5.15,4.9549,0.9991,134.942,25.5707,1.1,0 0 0 0,134.673,,,,,27.5663,,,,,23.4961,,,,,,111.403,,,,134.673,,,QC'd by ChemBridge
3475,49825334,24818888,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001111029-01/146493846,,Activator,2.5119,116.646,,87,Complete curve; high efficacy,-5.6,2.1211,0.9994,130.313,13.6666,1.1,0 0 0 0,128.513,,,,,14.625,,,,,54.4343,,,,,,124.416,,,,128.513,,,QC'd by ChemBridge
3476,49825348,24818896,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001105392-01/146379285,,Activator,12.5893,160.842,,43,Partial curve; high efficacy,-4.9,4.5045,0.9996,151.162,-9.6798,2.1,0 0 0 0,150.86,,,,,-8.3892,,,,,-11.4479,,,,,,23.2895,,,,150.86,,,QC'd by ChemBridge
3477,49825369,761869,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001034570-01/146494930,,Activator,7.9433,119.775,,44,Partial curve; high efficacy,-5.1,1.4787,0.9998,119.775,0,2.1,0 0 0 0,110.903,,,,,0.5604,,,,,12.3461,,,,,,67.1325,,,,110.903,,,QC'd by ChemBridge
3478,49825436,24818931,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001073555-01/146475292,,Activator,7.9433,198.958,,45,Partial curve; high efficacy,-5.1,0.91,0.9998,177.817,-21.1415,2.1,0 0 0 0,144.566,,,,,-11.1305,,,,,19.6278,,,,,,85.5465,,,,144.566,,,QC'd by ChemBridge
3479,49825473,24818953,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001126952-01/146495456,,Activator,7.9433,184.273,,45,Partial curve; high efficacy,-5.1,1.6604,0.9987,172.901,-11.3715,2.1,0 0 0 0,160.094,,,,,-8.7726,,,,,0.855,,,,,,94.035,,,,160.094,,,QC'd by ChemBridge
3480,49825597,24818999,Active,50,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001100665-01/146403161,,Activator,5.0119,221.489,,50,Partial curve; high efficacy,-5.3,1.5579,0.9999,241.678,20.1891,2.1,0 0 0 0,235.554,,,,,23.0372,,,,,59.1837,,,,,,179.825,,,,235.554,,,QC'd by ChemBridge
3481,49825610,9587570,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001123809-01/146346886,,Activator,6.3096,205.292,,48,Partial curve; high efficacy,-5.2,0.9,0.9999,229.493,24.2007,2.1,0 0 0 0,200.255,,,,,38.9172,,,,,75.5521,,,,,,143.064,,,,200.255,,,QC'd by ChemBridge
3482,49825613,24819005,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001125242-01/146385345,,Activator,11.2202,213.581,,45,Partial curve; high efficacy,-4.95,4.095,0.9988,215.29,1.7091,2.1,0 0 0 0,214.86,,,,,5.1222,,,,,-3.117,,,,,,68.3369,,,,214.86,,,QC'd by ChemBridge
3483,49825614,833554,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001125458-01/146342344,,Activator,3.1623,110.885,,86,Complete curve; high efficacy,-5.5,2.7868,0.9999,117.542,6.6561,1.1,0 0 0 0,118.014,,,,,7.0778,,,,,26.1339,,,,,,112.311,,,,118.014,,,QC'd by ChemBridge
3484,49825617,6463765,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001162232-01/146477817,,Activator,7.9433,102.184,,43,Partial curve; high efficacy,-5.1,1.9673,0.9996,88.4995,-13.6844,2.1,0 0 0 0,84.7696,,,,,-14.3567,,,,,-8.167,,,,,,46.055,,,,84.7696,,,QC'd by ChemBridge
3485,49825715,6871290,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001239890-01/146540040,,Activator,7.9433,131.703,,44,Partial curve; high efficacy,-5.1,1,1,120.807,-10.8962,2.1,0 0 0 0,101.178,,,,,-5.0949,,,,,13.3994,,,,,,59.9785,,,,101.178,,,QC'd by Specs
3486,49825794,1352103,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001125792-01/146476271,,Activator,10,133.958,,43,Partial curve; high efficacy,-5,1.3723,1,133.958,0,2.1,0 0 0 0,119.392,,,,,1.0989,,,,,11.9858,,,,,,63.7036,,,,119.392,,,QC'd by ChemBridge
3487,49825831,25237301,Active,90,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224248-01/146347260,,Activator,2.8184,196.324,,90,Complete curve; high efficacy,-5.55,4.9549,0.999,193.411,-2.9129,1.1,0 0 0 0,189.204,,,,,-1.6017,,,,,16.5424,,,,,,196.556,,,,189.204,,,QC'd by ChemT & I Ltd.
3488,49825873,20411478,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230184-01/146403117,,Activator,11.2202,175.201,,44,Partial curve; high efficacy,-4.95,1.9887,1,179.353,4.1516,2.1,0 0 0 0,169.842,,,,,3.7774,,,,,8.9165,,,,,,74.3981,,,,169.842,,,QC'd by ChemT & I Ltd.
3489,49825875,8485669,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224337-01/146496112,,Activator,3.1623,148.11,,88,Complete curve; high efficacy,-5.5,3.0654,0.9998,161.488,13.3782,1.1,0 0 0 0,162.137,,,,,13.4894,,,,,36.9885,,,,,,154.451,,,,162.137,,,QC'd by ChemT & I Ltd.
3490,49825879,8619650,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230083-01/146494463,,Activator,11.2202,137.711,,43,Partial curve; high efficacy,-4.95,1.6436,0.9996,122.349,-15.3623,2.1,0 0 0 0,109.632,,,,,-15.9412,,,,,-7.0228,,,,,,42.5715,,,,109.632,,,QC'd by ChemT & I Ltd.
3491,49825905,768716,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000936881-01/146393584,,Activator,11.2202,234.087,,46,Partial curve; high efficacy,-4.95,4.5045,0.9992,257.771,23.6842,2.1,0 0 0 0,257.257,,,,,20.4142,,,,,27.8769,,,,,,92.7405,,,,257.257,,,QC'd by Chem Div
3492,49825954,25237329,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224301-01/146342690,,Activator,11.2202,142.567,,43,Partial curve; high efficacy,-4.95,4.9549,0.9987,143.29,0.7231,2.1,0 0 0 0,143.866,,,,,-1.2109,,,,,3.9813,,,,,,38.3036,,,,143.866,,,QC'd by ChemT & I Ltd.
3493,49825956,25237296,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224257-01/146493819,,Activator,8.9125,148.539,,44,Partial curve; high efficacy,-5.05,0.8,0.9997,137.389,-11.1495,2.1,0 0 0 0,106.503,,,,,-0.384,,,,,22.439,,,,,,63.104,,,,106.503,,,QC'd by ChemT & I Ltd.
3494,49825963,5391614,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224803-01/146495694,,Activator,5.0119,198.647,,48,Partial curve; high efficacy,-5.3,1.3987,0.9986,195.793,-2.854,2.1,0 0 0 0,191.954,,,,,1.687,,,,,37.0428,,,,,,133.281,,,,191.954,,,QC'd by ChemT & I Ltd.
3495,49825965,25237598,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224822-01/146539541,,Activator,8.9125,112.512,,43,Partial curve; high efficacy,-5.05,1,1,127.037,14.5253,2.1,0 0 0 0,109.138,,,,,18.8848,,,,,33.8615,,,,,,71.589,,,,109.138,,,QC'd by ChemT & I Ltd.
3496,49825976,24819106,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230202-01/146495005,,Activator,6.3096,104.804,,43,Partial curve; high efficacy,-5.2,1.1341,0.999,90.7574,-14.0469,2.1,0 0 0 0,81.1347,,,,,-11.7058,,,,,7.8833,,,,,,48.5443,,,,81.1347,,,QC'd by ChemT & I Ltd.
3497,49826004,17282501,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001230270-01/146496091,,Activator,11.2202,342.889,,47,Partial curve; high efficacy,-4.95,1.1341,0.9999,319.95,-22.9391,2.1,0 0 0 0,262.685,,,,,-14.4963,,,,,16.0894,,,,,,128.339,,,,262.685,,,QC'd by ChemT & I Ltd.
3498,49826006,24819118,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001232722-01/146494641,,Activator,7.0795,140.815,,45,Partial curve; high efficacy,-5.15,1.4787,0.9999,140.161,-0.6545,2.1,0 0 0 0,131.978,,,,,1.0691,,,,,16.2305,,,,,,82.345,,,,131.978,,,QC'd by ChemT & I Ltd.
3499,49826041,2971457,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001223748-01/146342039,,Activator,5.0119,197.169,,48,Partial curve; high efficacy,-5.3,1.1341,0.9997,197.169,0,2.1,0 0 0 0,183.583,,,,,9.5072,,,,,49.3527,,,,,,130.129,,,,183.583,,,QC'd by ChemT & I Ltd.
3500,49826054,1246230,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001223722-01/146402663,,Activator,3.5481,121.395,,86,Complete curve; high efficacy,-5.45,4.9549,0.9999,135.891,14.4959,1.1,0 0 0 0,135.619,,,,,14.82,,,,,18.1736,,,,,,134.858,,,,135.619,,,QC'd by ChemT & I Ltd.
3501,49826113,24819153,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001100911-01/146476625,,Activator,7.0795,198.283,,47,Partial curve; high efficacy,-5.15,1.8265,0.9999,202.081,3.7975,2.1,0 0 0 0,194.683,,,,,4.8074,,,,,18.4103,,,,,,127.046,,,,194.683,,,QC'd by ChemBridge
